tcp,cbr rate,throughput,drop_rate,latency
TCP,1mb,8.874128,0.0,0.0621454497726
TCP,1mb,8.873296,0.0,0.0621560408795
TCP,1mb,8.878704,0.0,0.0620953958021
TCP,1mb,8.871632,0.0,0.0621756308904
TCP,1mb,8.868304,0.0,0.0622033453727
TCP,1mb,8.857072,0.0,0.0623181555983
TCP,1mb,8.871632,0.0,0.0621719885591
TCP,1mb,8.873712,0.0,0.0621464299644
TCP,1mb,8.872464,0.0,0.0621629627268
TCP,1mb,8.875792,0.0,0.062129855931
TCP,2mb,7.899024,0.0,0.0735538785613
TCP,2mb,7.914416,0.0,0.0733468175129
TCP,2mb,7.896944,0.0,0.0735843725242
TCP,2mb,7.904432,0.0,0.0734770603095
TCP,2mb,7.890704,0.0,0.0736578792767
TCP,2mb,7.910672,0.0,0.0734039029816
TCP,2mb,7.90152,0.0,0.0735285807844
TCP,2mb,7.896528,0.0,0.0735919760839
TCP,2mb,7.887792,0.0,0.073698195549
TCP,2mb,7.903184,0.0,0.0735034113374
TCP,3mb,6.91976,0.0,0.0882647074241
TCP,3mb,6.932656,0.0,0.0880492101284
TCP,3mb,6.917264,0.0,0.0883087312526
TCP,3mb,6.914352,0.0,0.0883636837926
TCP,3mb,6.933904,0.0,0.0880091264023
TCP,3mb,6.914768,0.0,0.0883365417795
TCP,3mb,6.921008,0.0,0.0882314216853
TCP,3mb,6.921424,0.0,0.0882454022477
TCP,3mb,6.933488,0.0,0.088022650648
TCP,3mb,6.935984,0.0,0.0879773188197
TCP,4mb,5.87976,0.000141472731131,0.0982712705341
TCP,4mb,5.892656,7.05865744335e-05,0.098147891642
TCP,4mb,5.972944,0.0,0.10708236256
TCP,4mb,5.80488,0.000143297270187,0.0891285983518
TCP,4mb,5.878096,7.07613925842e-05,0.098358073314
TCP,4mb,5.798224,0.000143461731583,0.089363979769
TCP,4mb,5.950064,0.0,0.107604042645
TCP,4mb,5.884336,7.06863646003e-05,0.098264055422
TCP,4mb,5.78824,0.000143709132715,0.0901827897952
TCP,4mb,5.798224,0.000143461731583,0.0890439701557
TCP,5mb,4.7108,0.000970359915314,0.0782068251656
TCP,5mb,4.713296,0.00141006433419,0.0788940060895
TCP,5mb,4.742,0.00113905195829,0.0774874536842
TCP,5mb,4.709552,0.00132310134956,0.0789723499382
TCP,5mb,4.71912,0.00114456770558,0.0782196643455
TCP,5mb,4.726608,0.00105494505495,0.0777380398662
TCP,5mb,4.720368,0.00140795494544,0.0790097406591
TCP,5mb,4.704976,0.00141255407434,0.0785511595792
TCP,5mb,4.748656,0.000875196919307,0.0788403462684
TCP,5mb,4.714544,0.00114567727153,0.0785340919358
TCP,6mb,3.745264,0.00310008857396,0.0795315370946
TCP,6mb,3.771472,0.00329779048038,0.0784524092864
TCP,6mb,3.771472,0.00263997360026,0.0781753114591
TCP,6mb,3.743184,0.00299135829825,0.0804728588732
TCP,6mb,3.773552,0.00241917747966,0.0784648832672
TCP,6mb,3.811408,0.0028294700185,0.0786419248063
TCP,6mb,3.778544,0.00285400658617,0.0797137231396
TCP,6mb,3.788528,0.00262812089356,0.0789647498902
TCP,6mb,3.755248,0.00408163265306,0.0793750337838
TCP,6mb,3.76856,0.00308098591549,0.078893087638
TCP,7mb,2.933232,0.00367335405482,0.081129756523
TCP,7mb,2.944464,0.00617717253966,0.0795589032349
TCP,7mb,2.860432,0.00448755066589,0.0783223155446
TCP,7mb,2.877904,0.00374370050396,0.0789654583032
TCP,7mb,2.90536,0.00441847206385,0.0803237636364
TCP,7mb,2.842128,0.00350007291819,0.0759623184546
TCP,7mb,2.9532,0.00504484304933,0.0799574959155
TCP,7mb,2.941552,0.00464461646728,0.07942625
TCP,7mb,2.943216,0.00534157998313,0.0821195760317
TCP,7mb,2.922416,0.00495680498513,0.0797452645887
TCP,8mb,2.037168,0.0107049080994,0.0785400659453
TCP,8mb,2.047568,0.0092573958543,0.0778043670526
TCP,8mb,2.01096,0.0110452035181,0.0768637305067
TCP,8mb,1.996816,0.00949040643697,0.0782168098313
TCP,8mb,2.030096,0.00973828362751,0.0787904318787
TCP,8mb,2.046736,0.00826279725917,0.0788581574883
TCP,8mb,2.046736,0.00985915492958,0.078892200569
TCP,8mb,2.036752,0.00890507994333,0.077574777619
TCP,8mb,2.041328,0.00928542591845,0.0786250020375
TCP,8mb,1.962704,0.00986151909358,0.0775392684891
TCP,9mb,1.077872,0.0284857571214,0.0897604104938
TCP,9mb,1.076624,0.0357541899441,0.0898816168405
TCP,9mb,1.085776,0.0354636128556,0.0897044067407
TCP,9mb,1.088688,0.0256791961295,0.0899097043545
TCP,9mb,1.075376,0.0336322869955,0.0859736558391
TCP,9mb,1.08952,0.0339233038348,0.0888821545802
TCP,9mb,1.084944,0.0333456835865,0.0801209049444
TCP,9mb,1.072464,0.03947858473,0.0883667972082
TCP,9mb,1.065808,0.0239908606245,0.0841083218884
TCP,9mb,1.085776,0.0318872821654,0.0894822811183
TCP,10mb,0.212176,0.115916955017,0.105631485323
TCP,10mb,0.2284,0.124203821656,0.106283994545
TCP,10mb,0.259184,0.0995670995671,0.105156815705
TCP,10mb,0.24504,0.111445783133,0.107952945763
TCP,10mb,0.273328,0.101092896175,0.105462661094
TCP,10mb,0.291216,0.0812581913499,0.105796784593
TCP,10mb,0.239632,0.0927672955975,0.107029019064
TCP,10mb,0.2804,0.0927419354839,0.107627093333
TCP,10mb,0.267504,0.104311543811,0.106158770186
TCP,10mb,0.27416,0.0571428571429,0.108543754545
TCP/Reno,1mb,8.8812,0.0,0.0620759996253
TCP/Reno,1mb,8.884112,0.0,0.062033465983
TCP/Reno,1mb,8.869136,0.0,0.062193105389
TCP/Reno,1mb,8.863728,0.0,0.0622547129717
TCP/Reno,1mb,8.870384,0.0,0.0621848021947
TCP/Reno,1mb,8.873296,0.0,0.0621579095213
TCP/Reno,1mb,8.876208,0.0,0.0621240858562
TCP/Reno,1mb,8.873296,0.0,0.0621549114434
TCP/Reno,1mb,8.87704,0.0,0.0621165893158
TCP/Reno,1mb,8.863728,0.0,0.0622549127088
TCP/Reno,2mb,7.901936,0.0,0.0735146883555
TCP/Reno,2mb,7.900272,0.0,0.0735438163437
TCP/Reno,2mb,7.8932,0.0,0.0736308534387
TCP/Reno,2mb,7.89112,0.0,0.0736631477069
TCP/Reno,2mb,7.896944,0.0,0.073578191319
TCP/Reno,2mb,7.899024,0.0,0.0735543816947
TCP/Reno,2mb,7.889872,0.0,0.0736793175515
TCP/Reno,2mb,7.884464,0.0,0.0737541154374
TCP/Reno,2mb,7.906928,0.0,0.0734488324916
TCP/Reno,2mb,7.88488,0.0,0.0737363918755
TCP/Reno,3mb,6.915184,0.0,0.088341174988
TCP/Reno,3mb,6.926832,0.0,0.0881474960365
TCP/Reno,3mb,6.929744,0.0,0.0881006859956
TCP/Reno,3mb,6.922256,0.0,0.0882056673277
TCP/Reno,3mb,6.934736,0.0,0.0880150256133
TCP/Reno,3mb,6.918096,0.0,0.0882838366905
TCP/Reno,3mb,6.933488,0.0,0.0880306930646
TCP/Reno,3mb,6.916848,0.0,0.0882974215781
TCP/Reno,3mb,6.924336,0.0,0.0881818358164
TCP/Reno,3mb,6.928496,0.0,0.0881069661984
TCP/Reno,4mb,5.943824,6.99790062981e-05,0.0988201144937
TCP/Reno,4mb,5.950064,6.9905627403e-05,0.0987113014541
TCP/Reno,4mb,5.708368,0.000145719489982,0.0931574827662
TCP/Reno,4mb,5.749552,0.000144675925926,0.0922961832586
TCP/Reno,4mb,5.929264,0.000140291806958,0.0979865431458
TCP/Reno,4mb,5.923856,7.02148574638e-05,0.10131974426
TCP/Reno,4mb,5.943408,0.000139958012596,0.089989587206
