tcp,cbr rate,t1_throughput,t1_drop_rate,t1_latency,t2_throughput,t2_drop_rate,t2_latency
Reno Reno,1mb,3.749744,0.000576547809118,0.0882037079654,5.1336096,0.000793496566913,0.0886220875646
Reno Reno,1mb,5.0561504,0.000756355026472,0.0853176652241,3.9875296,0.00052134381582,0.0847962784802
Reno Reno,1mb,4.0427744,0.00131535679053,0.0803931617139,4.9602208,0.000368873761339,0.0858669775072
Reno Reno,1mb,4.0307104,0.00119575301515,0.0832914635375,4.9497376,0.000403246131357,0.0845509610542
Reno Reno,1mb,3.9684768,0.000670423833567,0.0792455805572,4.664944,0.00108674351072,0.0798841630462
Reno Reno,1mb,5.3731424,0.000727227715112,0.089165709083,3.6344288,0.000663418205111,0.0874053581861
Reno Reno,1mb,4.0320416,0.00140116626486,0.0778383893486,4.9187872,0.000405782399188,0.0791302826238
Reno Reno,1mb,4.3931296,0.00107832009081,0.0856989927277,4.5523744,0.000456687735194,0.0873138616518
Reno Reno,1mb,4.1289696,0.00114722753346,0.0872747850609,4.71736,0.000317359568391,0.0894961197707
Reno Reno,1mb,3.8334432,0.00136543921628,0.0845286001823,5.1835296,0.000256743529261,0.086372695761
Reno Reno,2mb,4.0307104,0.000948590518219,0.0801450572172,3.7136352,0.00158811819178,0.0790631819159
Reno Reno,2mb,3.7276128,0.0010701863908,0.0788905457548,3.892432,0.00125949961575,0.0773560971251
Reno Reno,2mb,4.005168,0.00101682956691,0.0795145864977,3.7621408,0.00106037510769,0.0794621975055
Reno Reno,2mb,3.9421024,0.00115943251049,0.0801218115107,3.7050656,0.00112150371218,0.0774248673792
Reno Reno,2mb,3.8565728,0.00101290920454,0.0770612568495,4.082544,0.00101791530945,0.0800036834726
Reno Reno,2mb,3.8252064,0.000977793229325,0.0762125457076,3.6562272,0.00190779014308,0.0756349604742
Reno Reno,2mb,3.6290208,0.00128219805381,0.0787208329398,4.3801504,0.000910902362653,0.0772807232321
Reno Reno,2mb,3.5157024,0.00139427167029,0.0753871679485,4.2446176,0.00101821029959,0.0792278295896
Reno Reno,2mb,3.5772704,0.001115112092,0.0784599625323,4.300112,0.000966463709288,0.0794806800619
Reno Reno,2mb,4.2528544,0.00105528522014,0.0793975335798,3.4879136,0.00126262626263,0.079204438232
Reno Reno,3mb,3.281744,0.00091183100732,0.0836937546964,3.7932576,0.00107357258665,0.0805721164652
Reno Reno,3mb,3.358704,0.000989853996536,0.0844233037404,3.5095456,0.00106564364876,0.0816101441576
Reno Reno,3mb,3.4417376,0.000845349370819,0.0864349437971,3.4449824,0.0012060689389,0.0858371332866
Reno Reno,3mb,3.5449056,0.00114869775183,0.0831588266992,3.5276,0.000801244285243,0.0861932878538
Reno Reno,3mb,3.1466272,0.00132027144781,0.0819605646334,3.6022304,0.00186730600765,0.0839058504977
Reno Reno,3mb,3.1318176,0.00135300047753,0.0863360939883,3.7395936,0.000778071715982,0.0873716248776
Reno Reno,3mb,3.4761824,0.000908656145385,0.0865390775454,3.4359968,0.00084676053612,0.0888842220151
Reno Reno,3mb,2.527952,0.00177403988304,0.0849655602765,4.452368,0.000522944175709,0.0894532967019
Reno Reno,3mb,3.1300704,0.00135375467842,0.0840228230291,3.7191264,0.000715339562749,0.0832816628115
Reno Reno,3mb,3.3171872,0.00087706109357,0.0854577873392,3.5456544,0.00107821765933,0.0834235710163
Reno Reno,4mb,2.8595872,0.00203246131065,0.0807097719007,2.9745696,0.00145231112973,0.0816374318239
Reno Reno,4mb,3.0140896,0.00118552011249,0.0838042761124,2.8743968,0.00104091369091,0.0819116428261
Reno Reno,4mb,2.8791392,0.00109687103106,0.0843090115587,3.0576864,0.00097857997173,0.0817957311167
Reno Reno,4mb,2.711824,0.00125628140704,0.0804533452677,3.2686816,0.00111868198922,0.0832685790827
Reno Reno,4mb,3.0915488,0.00096787202581,0.0840327877499,2.8139104,0.00121076100759,0.083583777423
Reno Reno,4mb,2.5658912,0.00158627387504,0.0825875678804,3.2873184,0.000859758256208,0.0819797631099
Reno Reno,4mb,3.0561056,0.00116924080922,0.0821073657746,2.8117472,0.00194908747268,0.0821074413836
Reno Reno,4mb,3.1784928,0.000915295902089,0.0842761575489,2.8849632,0.00106588309855,0.0824244790633
Reno Reno,4mb,3.1191712,0.00143827407111,0.0801283163159,2.7594976,0.00171557562077,0.0810151115232
