tcp,algorithm,tcp_throughput,tcp_latency,cbr_throughput,cbr_latency
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.3328 0.46592 0.43264 0.44928 0.34112 0.53248 0.57408 0.36608 0.4992 0.52416 0.57408 0.64896,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.033780825 0.0332645178571 0.0333475 0.0333288518519 0.0333055609756 0.033274828125 0.0332326231884 0.0332987727273 0.0333560166667 0.0333324126984 0.033149115942 0.0333304358974,0 0 0 0 0 0 0 0 7.6692 7.90944 7.94808 7.95144 7.95816 7.98336 7.92456 7.94808 7.94136 7.89936 7.92792 7.9632,0 0 0 0 0 0 0 0 0.0306536247536 0.0307124698386 0.0307174614246 0.0307105387703 0.0306544074309 0.0307380799663 0.0307586266695 0.0306609086874 0.0307452263592 0.0307303513399 0.0307355399449 0.0307947343882
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.2912 0.40768 0.25792 0.51584 0.24128 0.50752 0.624 0.43264 0.40768 0.39104 0.48256 0.53248,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341262857143 0.0332535918367 0.0332483548387 0.0332988548387 0.033092862069 0.0333536065574 0.03349048 0.0332731153846 0.0332290612245 0.03326 0.0332534482759 0.033323625,0 0 0 0 0 0 0 0 7.6524 7.9968 8.00016 7.9548 7.9716 7.9548 7.96152 7.9548 8.00688 7.91616 7.91952 7.9464,0 0 0 0 0 0 0 0 0.0306301025247 0.0306804380252 0.0306250604788 0.0307187305174 0.0306111458377 0.0307503609293 0.030811351762 0.0306955755016 0.0306879733529 0.0306610991087 0.0307096105219 0.0307564742072
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.2912 0.47424 0.65728 0.52416 0.36608 0.4576 0.34112 0.44096 0.65728 0.94848 0.30784 0.63232,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.034095 0.0332408596491 0.0333262911392 0.0333208412698 0.0333067045455 0.0332070181818 0.0333247317073 0.0333099433962 0.0333519746835 0.0333049385965 0.0334762432432 0.0332960921053,0 0 0 0 0 0 0 0 7.64064 7.95984 7.94976 7.89432 7.99848 7.94472 7.92792 8.00184 7.87416 7.9128 7.99008 7.94808,0 0 0 0 0 0 0 0 0.0306372233949 0.0307042975939 0.0308103412933 0.0307182132369 0.0306792390254 0.0306917540706 0.0306640483153 0.0307070354818 0.0307671847664 0.030924185138 0.0306478675357 0.030777573029
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.3328 0.44096 0.47424 0.68224 0.3744 0.39104 0.36608 0.3744 0.29952 0.5824 0.22464 0.4576,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.03397455 0.0333686037736 0.0332857894737 0.0333269878049 0.0332285111111 0.0332452340426 0.0333355681818 0.0332757111111 0.0333310555556 0.0333863571429 0.0330794814815 0.0333073454545,0 0 0 0 0 0 0 0 7.68432 7.99344 7.93128 7.92288 8.00016 7.96152 7.96656 8.02704 7.9716 7.95984 8.05896 7.97496,0 0 0 0 0 0 0 0 0.0306473056406 0.0307088759983 0.0307103994916 0.0308192105598 0.0306802624948 0.030664704157 0.0306668850696 0.0306907614064 0.0306518200211 0.0307600683833 0.0306057548468 0.0307263319992
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.4576 0.57408 0.54912 0.74048 0.6656 0.73216 0.86528 1.01504 0.9568 0.25792 0.60736 0.7072,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0337157090909 0.0331728985507 0.0333239090909 0.0332099550562 0.0333715875 0.0332474431818 0.0331269326923 0.0330491311475 0.0332477478261 0.0332564193548 0.0333515205479 0.0331699647059,0 0 0 0 0 0 0 0 7.644 7.90944 7.93464 7.99512 7.89096 7.96152 7.97328 7.94304 7.94304 7.9296 7.89264 7.9464,0 0 0 0 0 0 0 0 0.0306884010989 0.0307440492778 0.0307521147576 0.0308248449254 0.0307980153289 0.0308216581557 0.0308645042141 0.0309094646785 0.03093041011 0.0306199135593 0.0307737041294 0.0307975488372
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.36608 0.43264 0.6656 0.7072 0.93184 0.9568 0.416 0.4992 0.39936 0.4992 0.44928 0.39936,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0341612727273 0.0332901153846 0.033379775 0.0331464705882 0.0331603928571 0.0332405391304 0.03336044 0.0333649333333 0.0331614166667 0.03335945 0.0332532037037 0.0333988125,0 0 0 0 0 0 0 0 7.60704 7.98504 7.86072 7.98336 7.97832 7.89096 7.9632 7.91952 7.98672 7.97328 7.9548 7.8876,0 0 0 0 0 0 0 0 0.0306587376325 0.030691248685 0.0307955308827 0.0308188945707 0.0308872977469 0.0309129099425 0.0307118065401 0.030709988969 0.0306610660496 0.0307461858407 0.030710655755 0.0306802498403
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.23296 0.68224 0.64896 0.59904 0.89024 0.59904 0.4576 0.35776 0.55744 0.44096 0.4992 0.39104,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340378571429 0.0333660731707 0.0331068717949 0.0333430555556 0.033104682243 0.0332460138889 0.0332768181818 0.0332700697674 0.0332817014925 0.0331437924528 0.0331436666667 0.0333222553191,0 0 0 0 0 0 0 0 7.71456 7.90944 7.95144 7.9632 7.90104 7.96656 7.99344 7.94136 7.98 8.00016 7.9212 7.92624,0 0 0 0 0 0 0 0 0.0306102336672 0.0307927561597 0.0307454663004 0.0307812622363 0.0308638173506 0.0307735126529 0.0307099571248 0.0306652836894 0.0307542633684 0.030696549139 0.0307135272534 0.030672884061
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.2912 0.3744 0.71552 0.39104 0.94848 0.92352 0.97344 0.88192 0.28288 0.47424 0.29952 0.24128,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0339754 0.0332309333333 0.0332837209302 0.0332808085106 0.033224877193 0.0331287387387 0.0332313076923 0.0331473584906 0.0331120294118 0.0332322105263 0.0332764166667 0.0332706896552,0 0 0 0 0 0 0 0 7.60704 7.96824 7.90272 7.9212 7.9128 7.9212 7.81032 7.9128 8.0304 7.95984 7.92456 8.04384,0 0 0 0 0 0 0 0 0.0306407228357 0.03065756926 0.0308151281888 0.0306820574761 0.0309011596603 0.0308737592789 0.0309186156163 0.030870340552 0.0306324876569 0.0307161414099 0.0306356794573 0.0306235570175
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.27456 0.3744 0.35776 0.75712 0.99008 0.57408 0.69056 0.99008 0.97344 0.80704 0.99008 0.64896,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0340917272727 0.0332137555556 0.0333258604651 0.0332273296703 0.0331949663866 0.0333677826087 0.0332642891566 0.0331191344538 0.0330006068376 0.0332194123711 0.0331669915966 0.0329814487179,0 0 0 0 0 0 0 0 7.686 7.9716 7.96656 7.89936 7.92288 7.89936 7.93464 7.94304 7.93464 7.96992 7.8792 7.9632,0 0 0 0 0 0 0 0 0.0306256710383 0.0306627312961 0.0306569976803 0.0308414221608 0.0309225506785 0.0307828881327 0.0308092221046 0.0309215084602 0.0308598276519 0.0308331677909 0.0308983916844 0.0307658419831
Reno,DropTail,2.08032 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 2.6624 0.24128 0.36608 0.38272 0.49088 0.31616 0.64896 0.44096 0.36608 0.39104 0.85696 0.63232 0.36608,0.0329803346614 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.032496 0.0337124482759 0.0332055454545 0.0331694782609 0.0334990338983 0.0333437368421 0.0332823076923 0.0332998867925 0.0331035454545 0.0334089574468 0.0331917378641 0.0332906447368 0.0333999090909,0 0 0 0 0 0 0 0 7.67088 8.03208 8.01864 7.95312 7.99512 7.91112 7.94304 8.00184 7.9968 7.90608 7.96992 7.91448,0 0 0 0 0 0 0 0 0.0306077076216 0.0306712679356 0.0306726597528 0.0307597765104 0.0306519430553 0.0307999469102 0.0306967155245 0.0306710785219 0.0306831535714 0.0308404944751 0.0307715354132 0.0306649010826
